HtScaffold0001:17064-17571(-) HtGene0006 507 160
HtScaffold0001:19686-22557(-) HtGene0007 2871 901
HtScaffold0001:48554-49421(+) HtGene0013 867 266
HtScaffold0001:50661-51384(-) HtGene0014 723 254
HtScaffold0001:51700-52636(-) HtGene0014 936 328
HtScaffold0001:55492-55784(-) HtGene0014 292 94
HtScaffold0001:56272-56400(-) HtGene0014 128 35
HtScaffold0001:56774-56843(-) HtGene0014 69 31
HtScaffold0001:60361-60457(+) HtGene0015 96 41
HtScaffold0001:60761-60899(+) HtGene0015 138 63
HtScaffold0001:61067-63287(+) HtGene0015 2220 741
HtScaffold0001:67143-68859(+) HtGene0017 1716 599
HtScaffold0001:70636-72302(-) HtGene0018 1666 542
HtScaffold0001:72387-73030(-) HtGene0018 643 190
HtScaffold0001:73091-82165(-) HtGene0018 9074 2866
HtScaffold0001:82201-85143(-) HtGene0018 2942 846
HtScaffold0001:99228-100662(+) HtGene0022 1434 477
HtScaffold0002:11745-11824(-) HtGene0028 79 21
HtScaffold0002:13573-13579(-) HtGene0028 6 0
HtScaffold0002:13665-15458(-) HtGene0028 1793 568
HtScaffold0002:17384-17402(-) HtGene0028 18 8
HtScaffold0002:17760-19362(+) HtGene0029 1602 477
HtScaffold0002:24329-24401(-) HtGene0031 72 14
HtScaffold0002:24884-24971(-) HtGene0031 87 24
HtScaffold0002:25279-28033(-) HtGene0031 2754 711
HtScaffold0002:30221-32432(+) HtGene0032 2211 695
HtScaffold0002:33619-34692(-) HtGene0033 1073 342
HtScaffold0002:34863-35080(-) HtGene0033 217 69
HtScaffold0002:37148-40382(-) HtGene0034 3234 1134
HtScaffold0002:56684-56710(+) HtGene0039 26 6
HtScaffold0002:56770-56847(+) HtGene0039 77 17
HtScaffold0002:56956-57053(+) HtGene0039 97 31
HtScaffold0002:60488-60592(+) HtGene0039 104 35
HtScaffold0002:60619-61500(+) HtGene0039 881 265
HtScaffold0003:10180-10270(+) HtGene0052 90 29
HtScaffold0003:10483-11629(+) HtGene0052 1146 366
HtScaffold0003:49785-52971(-) HtGene0063 3186 959
HtScaffold0003:56775-57225(+) HtGene0064 450 165
HtScaffold0003:57352-57513(-) HtGene0065 161 53
HtScaffold0003:57571-57577(-) HtGene0065 6 1
HtScaffold0003:59314-60917(-) HtGene0065 1603 483
HtScaffold0003:6560-8450(-) HtGene0051 1890 499
HtScaffold0003:77172-77208(-) HtGene0069 36 15
HtScaffold0003:77406-77547(-) HtGene0069 141 50
HtScaffold0003:77738-77863(-) HtGene0069 125 28
HtScaffold0003:77914-77925(-) HtGene0069 11 3
HtScaffold0003:77958-77967(-) HtGene0069 9 3
HtScaffold0003:78047-78195(-) HtGene0069 148 44
HtScaffold0003:78472-78575(-) HtGene0069 103 31
HtScaffold0003:80514-80683(+) HtGene0070 169 60
HtScaffold0003:80716-82488(+) HtGene0070 1772 512
HtScaffold0004:38956-39904(+) HtGene0077 948 312
HtScaffold0004:42713-42754(+) HtGene0078 41 19
HtScaffold0004:43199-43234(+) HtGene0078 35 11
HtScaffold0004:43490-44068(+) HtGene0078 578 194
HtScaffold0004:61112-61397(-) HtGene0082 285 112
HtScaffold0004:61879-61950(-) HtGene0082 71 27
HtScaffold0004:62048-62298(-) HtGene0082 250 91
HtScaffold0004:62372-62396(-) HtGene0082 24 5
HtScaffold0004:64021-64194(+) HtGene0083 173 56
HtScaffold0004:64389-64878(+) HtGene0083 489 172
HtScaffold0004:65071-65190(+) HtGene0083 119 28
HtScaffold0004:67416-67460(+) HtGene0083 44 26
HtScaffold0004:80125-80215(+) HtGene0085 90 29
HtScaffold0004:80543-80602(+) HtGene0085 59 23
HtScaffold0004:80851-81038(+) HtGene0085 187 62
HtScaffold0004:81228-81516(+) HtGene0085 288 89
HtScaffold0005:27691-28047(-) HtGene0092 356 116
HtScaffold0005:28647-28726(-) HtGene0092 79 28
HtScaffold0005:32636-34358(+) HtGene0094 1722 549
HtScaffold0005:34577-34614(-) HtGene0095 37 10
HtScaffold0005:35067-35077(-) HtGene0095 10 1
HtScaffold0005:35630-36374(-) HtGene0095 744 239
HtScaffold0005:36750-36945(-) HtGene0095 195 63
HtScaffold0005:39048-40338(-) HtGene0095 1290 344
HtScaffold0005:40396-40981(-) HtGene0095 585 187
HtScaffold0005:41015-41516(-) HtGene0095 501 178
HtScaffold0005:41542-51096(-) HtGene0095 9554 2828
HtScaffold0005:51327-60758(-) HtGene0095 9431 2907
HtScaffold0005:61609-63184(+) HtGene0096 1575 548
HtScaffold0005:64768-65249(-) HtGene0097 481 191
HtScaffold0005:65865-65960(-) HtGene0097 95 40
HtScaffold0005:73023-74322(+) HtGene0100 1299 384
HtScaffold0006:19562-21065(-) HtGene0108 1503 472
HtScaffold0006:22341-24531(-) HtGene0109 2190 579
HtScaffold0006:26017-26031(+) HtGene0110 14 5
HtScaffold0006:26221-26288(+) HtGene0110 67 29
HtScaffold0006:26599-27274(+) HtGene0110 675 211
HtScaffold0006:38919-38935(+) HtGene0115 16 5
HtScaffold0006:39002-39128(+) HtGene0115 126 14
HtScaffold0006:40135-40213(+) HtGene0115 78 20
HtScaffold0006:40342-44802(+) HtGene0115 4460 1411
HtScaffold0006:45338-45386(+) HtGene0115 48 17
HtScaffold0006:46361-47195(-) HtGene0116 834 272
HtScaffold0007:34916-35527(-) HtGene0129 611 177
HtScaffold0007:35678-38033(-) HtGene0129 2355 709
HtScaffold0007:38065-38507(-) HtGene0129 442 124
HtScaffold0007:46879-48481(+) HtGene0131 1602 479
HtScaffold0007:49259-50567(-) HtGene0132 1308 417
HtScaffold0007:51507-53355(-) HtGene0133 1848 503
HtScaffold0007:53522-53544(-) HtGene0133 22 2
HtScaffold0007:54125-54138(-) HtGene0133 13 4
HtScaffold0007:54269-54354(-) HtGene0133 85 30
HtScaffold0007:54605-54662(-) HtGene0133 57 15
HtScaffold0007:54891-54951(-) HtGene0133 60 21
HtScaffold0008:10157-10410(-) HtGene0140 253 99
HtScaffold0008:11740-13660(+) HtGene0141 1920 521
HtScaffold0008:13685-13736(+) HtGene0141 51 19
HtScaffold0008:13912-14200(+) HtGene0141 288 79
HtScaffold0008:14272-14281(+) HtGene0141 9 3
HtScaffold0008:17876-17976(-) HtGene0143 100 37
HtScaffold0008:18008-19137(-) HtGene0143 1129 378
HtScaffold0008:19181-20400(-) HtGene0143 1219 410
HtScaffold0008:45763-46747(+) HtGene0148 984 373
HtScaffold0008:47029-47102(+) HtGene0148 73 27
HtScaffold0008:47639-47663(+) HtGene0148 24 10
HtScaffold0008:47919-48545(+) HtGene0148 626 244
HtScaffold0008:65925-67176(-) HtGene0153 1251 418
HtScaffold0008:7160-9382(-) HtGene0140 2222 725
HtScaffold0008:9438-9790(-) HtGene0140 352 104
HtScaffold0008:9889-10092(-) HtGene0140 203 67
HtScaffold0009:41127-41190(+) HtGene0166 63 23
HtScaffold0009:41829-42802(+) HtGene0166 973 237
HtScaffold0009:43197-43709(+) HtGene0166 512 179
HtScaffold0009:63971-65153(+) HtGene0168 1182 390
HtScaffold0009:66351-66459(-) HtGene0169 108 30
HtScaffold0009:66780-67364(-) HtGene0169 584 112
HtScaffold0009:67539-68443(-) HtGene0169 904 204
HtScaffold0009:68788-68918(-) HtGene0169 130 29
HtScaffold0011:3081-5829(-) HtGene0182 2748 788
HtScaffold0011:8160-13968(-) HtGene0183 5808 2035
HtScaffold0012:25041-25311(+) HtGene0199 270 72
HtScaffold0012:25513-29464(+) HtGene0199 3951 1142
HtScaffold0013:11072-12521(+) HtGene0206 1449 467
